keys,es,en
HOME_PLAY,Jugar,Play
HOME_COLLECTION,Colección,Collection
HOME_DECKS,Mazos,Decks
HOME_SHOP,Tienda,Shop
HOME_MISSIONS,Misiones,Missions
HOME_SOCIAL,Social,Social
HOME_FRIENDS,Amigos,Friends
HOME_SETTINGS,Ajustes,Settings
HOME_PROFILE,Perfil,Profile
SETTINGS_TITLE,Opciones de Juego,Game Settings
SETTINGS_GENERAL,Generales,General
SETTINGS_LANGUAGE,Idioma,Language
LANG_ES,Castellano,Spanish
LANG_EN,Inglés,English
MODAL_TITLE,Opciones,Options
MODAL_SWITCH,Cambiar,Switch
MODAL_GAME,Juego,Game
MODAL_GRAPHICS,Gráficos,Graphics
MODAL_AUDIO,Audio,Audio
MODAL_BACK,Volver,Back
MODAL_EXIT,Salir,Exit
GRAPHICS_TITLE,Opciones de Gráficos,Graphics Settings
GRAPHICS_DISPLAY,Pantalla,Display
GRAPHICS_RESOLUTION,Resolución,Resolution
GRAPHICS_CONFIRM_TITLE,¿Mantener resolución?,Keep resolution?
GRAPHICS_CONFIRM_MSG,Revirtiendo en %d s…,Reverting in %d s…
GRAPHICS_KEEP,Mantener,Keep
GRAPHICS_REVERT,Revertir,Revert
